id,user_id,category_id,preference_score,preferred_location,preferred_day_of_week,preferred_time_of_day,created_at,updated_at
1,2,1,0.75,"Science Building",3,"AFTERNOON","2024-04-01 00:00:00","2024-04-01 00:00:00"
2,2,5,0.90,"Tech Building",2,"AFTERNOON","2024-04-01 00:00:00","2024-04-01 00:00:00"
3,3,2,0.85,"Business Building",5,"EVENING","2024-04-01 00:00:00","2024-04-01 00:00:00"
4,3,3,0.65,"Arts Building",6,"EVENING","2024-04-01 00:00:00","2024-04-01 00:00:00"
5,4,1,0.95,"Science Building",2,"MORNING","2024-04-01 00:00:00","2024-04-01 00:00:00"
6,4,5,0.80,"Tech Building",4,"AFTERNOON","2024-04-01 00:00:00","2024-04-01 00:00:00"
7,5,1,0.70,"Science Building",3,"AFTERNOON","2024-04-01 00:00:00","2024-04-01 00:00:00"
8,5,4,0.85,"Sports Complex",6,"MORNING","2024-04-01 00:00:00","2024-04-01 00:00:00"
9,6,3,0.90,"Arts Building",5,"AFTERNOON","2024-04-01 00:00:00","2024-04-01 00:00:00"
10,6,5,0.65,"Arts Building",3,"AFTERNOON","2024-04-01 00:00:00","2024-04-01 00:00:00"
11,7,1,0.80,"Science Building",2,"MORNING","2024-04-01 00:00:00","2024-04-01 00:00:00"
12,7,4,0.60,"Wellness Center",7,"MORNING","2024-04-01 00:00:00","2024-04-01 00:00:00"
13,8,1,0.90,"Conference Center",4,"AFTERNOON","2024-04-01 00:00:00","2024-04-01 00:00:00"
14,8,2,0.75,"Business Building",5,"EVENING","2024-04-01 00:00:00","2024-04-01 00:00:00"
15,9,1,0.85,"Science Building",3,"AFTERNOON","2024-04-01 00:00:00","2024-04-01 00:00:00"
16,9,5,0.70,"Tech Building",2,"AFTERNOON","2024-04-01 00:00:00","2024-04-01 00:00:00"
17,10,3,0.95,"Arts Building",6,"AFTERNOON","2024-04-01 00:00:00","2024-04-01 00:00:00"
18,10,5,0.85,"Arts Building",4,"AFTERNOON","2024-04-01 00:00:00","2024-04-01 00:00:00"
